Year,Lg,Drafted,Played,HOF,AP,AV,QB,RB,WR,TE,OL,DL,LB,DB,ST
2021,NFL,259,215,0,0,0,10,20,35,11,46,50,24,59,4
2020,NFL,255,242,0,0,605,13,18,35,12,47,41,33,50,6
2019,NFL,254,232,0,3,1255,11,25,28,16,40,45,32,52,5
2018,NFL,256,252,0,14,2159,13,21,34,15,38,44,38,46,7
2017,NFL,253,248,0,23,2719,10,30,32,14,33,42,32,56,4
2016,NFL,253,239,0,24,3374,15,23,31,11,41,42,34,51,5
2015,NFL,256,233,0,19,3515,7,22,34,20,46,43,36,46,2
2014,NFL,256,252,0,32,4124,14,21,34,10,45,41,35,53,3
2013,NFL,254,250,0,40,4100,11,26,28,16,41,50,26,52,4
2012,NFL,253,251,0,52,5039,11,21,33,12,44,44,32,50,6
2011,NFL,254,251,0,51,4945,12,29,28,13,40,43,34,53,2
2010,NFL,255,243,0,62,5107,13,15,31,19,38,54,29,53,3
2009,NFL,256,249,0,22,4539,11,23,34,19,41,38,30,55,5
2008,NFL,252,250,0,33,4839,13,27,35,16,40,38,34,46,3
2007,NFL,255,226,1,66,4828,11,24,34,13,40,45,33,49,6
2006,NFL,255,227,0,50,5944,13,19,30,15,49,46,30,49,4
2005,NFL,255,221,0,51,5324,14,25,31,10,49,39,32,50,5
2004,NFL,255,228,0,42,5326,17,19,31,16,42,42,34,48,6
2003,NFL,262,237,1,54,5586,13,25,36,12,45,48,32,48,3
2002,NFL,261,228,1,35,5019,15,27,34,23,37,40,28,52,5
2001,NFL,246,220,2,63,5733,11,19,34,15,41,46,30,45,5
2000,NFL,254,219,1,49,5347,12,23,35,14,36,45,33,52,4
1999,NFL,253,225,2,40,5015,13,26,30,13,41,44,33,46,7
1998,NFL,241,204,4,72,5499,8,29,30,14,46,39,32,43,0
1997,NFL,240,212,4,64,5152,11,22,24,15,34,41,39,52,2
1996,NFL,254,216,5,92,5895,8,31,33,16,47,44,30,44,1
1995,NFL,249,208,5,56,4813,14,25,28,15,45,40,34,44,4
1994,NFL,222,192,4,57,4847,9,28,28,13,36,37,33,35,3
1993,NFL,224,208,5,80,5929,8,21,28,13,36,28,39,42,9
1992,NFL,336,231,0,52,5002,21,32,43,23,57,56,42,57,5
1991,NFL,334,221,2,61,5226,13,41,44,21,57,51,39,59,8
1990,NFL,331,229,4,73,5310,20,42,44,18,51,55,43,53,5
1989,NFL,335,228,5,91,4674,16,46,40,16,50,47,51,62,7
1988,NFL,333,219,5,114,5707,13,41,40,19,52,49,45,63,11
1987,NFL,335,284,1,93,5433,19,55,36,17,46,49,53,50,10
1986,NFL,333,262,1,83,4992,16,48,36,17,54,49,56,49,8
1985,NFL,336,240,5,117,5073,11,34,41,23,60,40,47,69,10
1984,NFL,336,243,0,114,4734,15,48,40,18,55,42,59,49,10
1983,NFL,335,248,8,150,6658,16,46,42,23,61,42,42,54,9
1982,NFL,334,223,4,90,4278,15,43,35,21,55,45,58,51,11
1981,NFL,332,227,7,108,5319,16,45,41,24,51,49,44,55,7
1980,NFL,333,208,3,94,4750,17,47,39,10,56,49,48,59,8
1979,NFL,330,237,3,84,5016,15,47,36,19,53,48,54,47,11
1978,NFL,334,217,3,62,4521,14,43,41,19,65,43,52,45,12
1977,NFL,335,225,1,94,5588,18,49,36,19,69,42,43,45,14
1976,NFL,487,237,5,89,5778,26,67,59,21,86,67,59,83,18
1975,NFL,442,206,4,117,5341,20,73,52,26,71,67,53,67,13
1974,NFL,442,219,5,82,4687,20,76,45,21,82,56,61,66,14
1973,NFL,442,221,4,111,5720,22,61,49,26,87,62,58,69,8
1972,NFL,442,196,1,79,4314,19,59,52,23,69,71,60,80,9
1971,NFL,442,217,5,94,5592,21,62,54,21,84,61,52,79,8
1970,NFL,442,209,2,73,4767,14,63,52,22,82,71,48,74,15
1969,NFL,442,206,5,131,5338,17,67,50,27,88,64,47,71,11
1968,NFL,462,227,8,98,5026,19,69,50,18,113,61,57,67,8
1967,NFL,445,197,8,114,4726,20,61,36,19,106,57,54,80,12
1966,NFL,305,162,1,68,2934,14,53,25,9,103,42,25,30,4